,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
pie.session.account_mismatch,Account mismatch,Account mismatch,اکاؤنٹ کا عدم مطابقت,Neconcordanță cont,ناهمخوانی حساب,Incompatibilité de compte,खाता मेल नहीं खाता,عدم تطابق الحساب,ਖਾਤਾ ਮੇਲ ਨਹੀਂ ਖਾਂਦਾ,Incompatibilidad de cuenta,Konten stimmen nicht überein,アカウントの不一致,계정 불일치,Невідповідність облікового запису,د حساب ناسمون,账户不匹配
pie.test.correct_out_of_total,{{answered}}/{{total}} correct,{{answered}}/{{total}} correct,{{answered}}/{{total}} درست,„{{answered}}/{{total}} corect”,{{answered}}/{{total}} صحیح,{{answered}}/{{total}} correct,{{उत्तर}}/{{कुल}} सही,{{answered}}/{{total}} صحيح,{{answered}}/{{total}} ਸਹੀ,{{answered}}/{{total}} correcto,{{answered}}/{{total}} korrekt,{{answered}}/{{total}} 正解,{{answered}}/{{total}} 정답,{{answered}}/{{total}} правильно,{{ځوابونه}}/{{ټول}} سم,{{answered}}/{{total}} 正确
pie.app.permission.required,Permission Required,Permission Required,اجازت درکار ہے,Permisiune necesară,نیاز به مجوز,Permission requise,अनुमति आवश्यक,الإذن مطلوب,ਇਜਾਜ਼ਤ ਦੀ ਲੋੜ ਹੈ,Permiso Requerido,Erlaubnis erforderlich,許可が必要です,권한 필요,Потрібен дозвіл,اجازه اړینه ده,需要许可
label.status_attend_later_removed,Later removed,Later removed,بعد میں ہٹا دیا گیا۔,Eliminat ulterior,بعداً حذف شد,Supprimé plus tard,बाद में हटाया गया,تمت الإزالة لاحقًا,ਬਾਅਦ ਵਿੱਚ ਹਟਾਇਆ ਗਿਆ,Eliminado posteriormente,Später entfernt,後で削除されました,나중에 제거됨,Пізніше видалено,وروسته لرې کړل شو,稍后移除
label.text.free_preview,Free Preview,Free Preview,مفت پیش نظارہ,Previzualizare gratuită,پیش‌نمایش رایگان,Aperçu gratuit,नि:शुल्क पूर्वावलोकन,معاينة مجانية,ਮੁਫ਼ਤ ਝਲਕ,Vista Previa Gratuita,Kostenlose Vorschau,無料プレビュー,무료 미리보기,Безкоштовний перегляд,وړیا مخکتنه,免费预览
pie.registration.field_errormsg,This field is required.,This field is required.,یہ خانہ ضروری ہے۔,Acest câmp este obligatoriu.,این فیلد الزامی است.,Ce champ est requis.,यह फ़ील्ड आवश्यक है।,هذا الحقل مطلوب.,ਇਹ ਖੇਤਰ ਲਾਜ਼ਮੀ ਹੈ।,Este campo es obligatorio.,Dieses Feld ist erforderlich.,このフィールドは必須です。,이 필드는 필수입니다.,Це поле є обов'язковим.,دا ساحه اړینه ده.,此字段为必填项。
label.text.review.placeholder,Enter your review here..,Enter your review here..,اپنا جائزہ یہاں درج کریں۔,Introduceți recenzia dvs. aici.,نظر خود را اینجا وارد کنید.,Entrez votre avis ici..,अपनी समीक्षा यहाँ दर्ज करें..,أدخل تقييمك هنا..,ਇੱਥੇ ਆਪਣਾ ਸਮੀਖਿਆ ਦਰਜ ਕਰੋ..,Introduce tu reseña aquí..,Geben Sie hier Ihre Bewertung ein..,ここにレビューを入力してください。,여기에 리뷰를 입력하세요..,Введіть свій відгук тут..,دلته خپل بیاکتنه دننه کړئ..,在此输入您的评论。
reward.share.linkedin,Share to linkedIn,Share to linkedIn,لنکڈ ان پر شیئر کریں,Distribuie pe LinkedIn,اشتراک‌گذاری در لینکدین,Partager sur LinkedIn,LinkedIn पर साझा करें,مشاركة على لينكدإن,ਲਿੰਕਡਇਨ 'ਤੇ ਸਾਂਝਾ ਕਰੋ,Compartir en LinkedIn,Auf LinkedIn teilen,LinkedInに共有,LinkedIn에 공유,Поділитися на LinkedIn,LinkedIn ته شریک کړئ,分享到领英
pie.accessRequest.share_screen,Would you like to share your screen?,Would you like to share your screen?,کیا آپ اپنی سکرین شیئر کرنا چاہیں گے؟,Doriți să partajați ecranul dumneavoastră?,آیا مایلید صفحه‌نمایش خود را به اشتراک بگذارید؟,Souhaitez-vous partager votre écran ?,क्या आप अपनी स्क्रीन साझा करना चाहेंगे?,هل ترغب في مشاركة شاشتك؟,ਕੀ ਤੁਸੀਂ ਆਪਣੀ ਸਕਰੀਨ ਸਾਂਝਾ ਕਰਨਾ ਚਾਹੋਗੇ?,¿Te gustaría compartir tu pantalla?,Möchten Sie Ihren Bildschirm teilen?,画面を共有しますか？,화면을 공유하시겠습니까?,Ви хочете поділитися своїм екраном?,ایا تاسو غواړئ خپل سکرین شریک کړئ؟,您愿意分享您的屏幕吗？
label.text.inactivity_reminder,Screen inactive!,Screen inactive!,اسکرین غیر فعال!,Ecran inactiv!,صفحه غیرفعال است!,Écran inactif !,स्क्रीन निष्क्रिय!,الشاشة غير نشطة!,ਸਕਰੀਨ ਗੈਰ-ਸਕ੍ਰੀਨ ਹੈ!,¡Pantalla inactiva!,Bildschirm inaktiv!,画面が非アクティブです！,화면 비활성화됨!,Екран неактивний!,سکرین غیر فعال!,屏幕未激活！
pie.test.evaluation_pending_msg,Pending answers require evaluation from the trainer. We'll notify you via email once the test has been graded. Thank you for your participation.,Pending answers require evaluation from the trainer. We'll notify you via email once the test has been graded. Thank you for your participation.,زیر التواء جوابات کو ٹرینر کی طرف سے جائزہ لینے کی ضرورت ہے۔ جیسے ہی ٹیسٹ کی درجہ بندی ہو جائے گی، ہم آپ کو ای میل کے ذریعے مطلع کریں گے۔ آپ کی شرکت کا شکریہ۔,Răspunsurile în așteptare necesită evaluarea din partea antrenorului. Vă vom anunța prin e-mail odată ce testul a fost notat. Vă mulțumim pentru participare.,پاسخ‌های در انتظار نیاز به ارزیابی توسط مربی دارند. پس از ارزیابی آزمون، از طریق ایمیل به شما اطلاع خواهیم داد. از مشارکت شما سپاسگزاریم.,Les réponses en attente nécessitent une évaluation de la part du formateur. Nous vous informerons par e-mail une fois le test noté. Merci pour votre participation.,लंबित उत्तरों के लिए प्रशिक्षक से मूल्यांकन की आवश्यकता होती है। एक बार परीक्षण ग्रेड हो जाने पर हम आपको ईमेल के माध्यम से सूचित करेंगे। आपकी भागीदारी के लिए धन्यवाद।,الإجابات المعلقة تتطلب تقييمًا من المدرب. سنقوم بإخطارك عبر البريد الإلكتروني بمجرد تصحيح الاختبار. شكرًا لمشاركتك.,ਬਕਾਇਆ ਜਵਾਬਾਂ ਨੂੰ ਟ੍ਰੇਨਰ ਤੋਂ ਮੁਲਾਂਕਣ ਦੀ ਲੋੜ ਹੈ। ਜਦੋਂ ਟੈਸਟ ਦਾ ਮੁਲਾਂਕਣ ਕੀਤਾ ਜਾਵੇਗਾ ਤਾਂ ਅਸੀਂ ਤੁਹਾਨੂੰ ਈਮੇਲ ਰਾਹੀਂ ਸੂਚਿਤ ਕਰਾਂਗੇ। ਤੁਹਾਡੇ ਭਾਗੀਦਾਰੀ ਲਈ ਧੰਨਵਾਦ।,Las respuestas pendientes requieren evaluación del entrenador. Te notificaremos por correo electrónico una vez que la prueba haya sido calificada. Gracias por tu participación.,"Ausstehende Antworten erfordern eine Bewertung durch den Trainer. Wir benachrichtigen Sie per E-Mail, sobald der Test bewertet wurde. Vielen Dank für Ihre Teilnahme.",保留中の回答はトレーナーの評価が必要です。テストが採点されたらメールでお知らせします。ご参加ありがとうございました。,보류 중인 답변은 강사의 평가가 필요합니다. 테스트가 채점되면 이메일로 알려드리겠습니다. 참여해 주셔서 감사합니다.,"Очікуючі відповіді потребують оцінки від тренера. Ми повідомимо вас електронною поштою, як тільки тест буде оцінено. Дякуємо за вашу участь.",معلق ځوابونه د روزونکي څخه ارزونه ته اړتیا لري. موږ به تاسو ته د بریښنالیک له لارې خبر درکړو یو ځل چې ازموینه درجه بندي شي. ستاسو د ګډون لپاره مننه.,待定答案需要培训师的评估。测试评分完成后，我们会通过电子邮件通知您。感谢您的参与。
ticket.content.payment_confirmation_waiting,Waiting for Payment Confirmation,Waiting for Payment Confirmation,ادائیگی کی تصدیق کا انتظار ہے۔,Așteptare confirmare plată,در انتظار تأیید پرداخت,En attente de confirmation de paiement,भुगतान की पुष्टि की प्रतीक्षा कर रहे हैं,في انتظار تأكيد الدفع,ਭੁਗਤਾਨ ਦੀ ਪੁਸ਼ਟੀਕਰਨ ਦੀ ਉਡੀਕ ਕਰ ਰਹੇ ਹਾਂ,Esperando Confirmación de Pago,Warten auf Zahlungsbestätigung,支払い確認を待っています,결제 확인 대기 중,Очікування підтвердження оплати,د تادیې تایید لپاره انتظار,等待付款确认
pie.viewmote.sessionexitnotesunsaved,The presenter has ended the session. Avoid losing your notes by sending them to your mail id.,The presenter has ended the session. Avoid losing your notes by sending them to your mail id.,پیش کنندہ نے سیشن ختم کر دیا ہے۔ اپنے نوٹس کو کھونے سے بچانے کے لیے انہیں اپنے میل آئی ڈی پر بھیج دیں۔,Prezentatorul a încheiat sesiunea. Evitați să vă pierdeți notițele trimițându-le la adresa dumneavoastră de e-mail.,مجری جلسه را به پایان رسانده است. برای جلوگیری از از دست دادن یادداشت‌های خود، آن‌ها را به ایمیل خود ارسال کنید.,Le présentateur a terminé la session. Évitez de perdre vos notes en les envoyant à votre adresse e-mail.,प्रस्तुतकर्ता ने सत्र समाप्त कर दिया है। अपने नोट्स खोने से बचने के लिए उन्हें अपने मेल आईडी पर भेजें।,أنهى المقدم الجلسة. تجنب فقدان ملاحظاتك بإرسالها إلى بريدك الإلكتروني.,ਪੇਸ਼ਕਾਰ ਨੇ ਸੈਸ਼ਨ ਖਤਮ ਕਰ ਦਿੱਤਾ ਹੈ। ਆਪਣੇ ਨੋਟਸ ਨੂੰ ਆਪਣੇ ਮੈਲ ਆਈਡੀ 'ਤੇ ਭੇਜ ਕੇ ਗੁਆਉਣ ਤੋਂ ਬਚੋ।,El presentador ha terminado la sesión. Evita perder tus notas enviándolas a tu correo electrónico.,"Der Präsentator hat die Sitzung beendet. Vermeiden Sie den Verlust Ihrer Notizen, indem Sie sie an Ihre E-Mail-Adresse senden.",プレゼンターがセッションを終了しました。ノートを失わないようにメールIDに送信してください。,발표자가 세션을 종료했습니다. 메모를 잃지 않으려면 메일로 보내세요.,"Ведучий завершив сесію. Уникайте втрати своїх нотаток, надіславши їх на свою електронну пошту.",پریزنټر غونډه پای ته رسولې ده. د خپلو یادښتونو له لاسه ورکولو څخه مخنیوی وکړئ د دوی د خپل بریښنالیک ID ته په لیږلو سره.,主持人已结束会议。为了避免丢失笔记，请将其发送到您的邮箱。
pie.ticket.free.note,Unlimited access. This course can be accessed anytime with this ticket.,Unlimited access. This course can be accessed anytime with this ticket.,لامحدود رسائی۔ اس ٹکٹ کے ساتھ اس کورس تک کسی بھی وقت رسائی حاصل کی جا سکتی ہے۔,Acces nelimitat. Acest curs poate fi accesat oricând cu acest bilet.,دسترسی نامحدود. این دوره را می‌توان در هر زمانی با این بلیط دسترسی داشت.,Accès illimité. Ce cours est accessible à tout moment avec ce billet.,असीमित पहुंच। यह पाठ्यक्रम इस टिकट के साथ कभी भी एक्सेस किया जा सकता है।,وصول غير محدود. يمكن الوصول إلى هذه الدورة في أي وقت باستخدام هذه التذكرة.,ਅਨਲਿਮਿਟਡ ਪਹੁੰਚ। ਇਸ ਟਿਕਟ ਨਾਲ ਇਸ ਕੋਰਸ ਤੱਕ ਕਿਸੇ ਵੀ ਸਮੇਂ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।,Acceso ilimitado. Este curso se puede acceder en cualquier momento con este boleto.,Unbegrenzter Zugang. Dieser Kurs kann jederzeit mit diesem Ticket abgerufen werden.,無制限アクセス。このコースはこのチケットでいつでもアクセスできます。,무제한 접근. 이 과정은 이 티켓으로 언제든지 접근할 수 있습니다.,Необмежений доступ. Цей курс можна переглядати в будь-який час з цим квитком.,نامحدود لاسرسی. دا کورس په هر وخت کې د دې ټکټ سره لاسرسی کیدی شي.,无限访问。凭此票可随时访问此课程。
